transcripts;transcript_4-34_ppan;transcript_5-34_ptro;transcript_4-9_ppan;transcript_5-9_ptro;transcript_6-9_hsap;transcript_5-25_ptro;transcript_4-25_ppan;transcript_4-0_ppan;transcript_5-0_ptro;transcript_8-0_pabe;transcript_7-0_ggor;transcript_6-0_hsap;transcript_4-29_ppan;transcript_5-29_ptro;transcript_4-10_ppan;transcript_4-17_ppan;transcript_6-10_hsap;transcript_5-10_ptro;transcript_5-17_ptro;transcript_4-13_ppan;transcript_4-31_ppan;transcript_6-13_hsap;transcript_5-13_ptro;transcript_5-31_ptro;transcript_5-36_ptro;transcript_4-36_ppan;transcript_4-18_ppan;transcript_5-18_ptro;transcript_5-30_ptro;transcript_4-30_ppan;transcript_5-24_ptro;transcript_4-24_ppan;transcript_4-26_ppan;transcript_5-26_ptro;transcript_4-33_ppan;transcript_5-33_ptro;transcript_4-19_ppan;transcript_5-19_ptro
transcript_5-17_ptro;0.578;0.578;0.576;0.576;0.576;0.725;0.725;0.552;0.552;0.552;0.552;0.552;0.554;0.554;0.732;1.0;0.732;0.732;1.0;0.736;0.736;0.736;0.736;0.736;0.73;0.73;0.746;0.746;0.738;0.738;0.73;0.73;0.991;0.991;0.984;0.984;0.654;0.654
transcript_4-13_ppan;0.794;0.794;0.79;0.79;0.79;0.988;0.988;0.75;0.75;0.75;0.75;0.75;0.753;0.753;0.994;0.736;0.994;0.994;0.736;1.0;1.0;1.0;1.0;1.0;0.994;0.994;0.549;0.549;0.543;0.543;0.994;0.994;0.73;0.73;0.724;0.724;0.481;0.481
transcript_4-31_ppan;0.794;0.794;0.79;0.79;0.79;0.988;0.988;0.75;0.75;0.75;0.75;0.75;0.753;0.753;0.994;0.736;0.994;0.994;0.736;1.0;1.0;1.0;1.0;1.0;0.994;0.994;0.549;0.549;0.543;0.543;0.994;0.994;0.73;0.73;0.724;0.724;0.481;0.481
transcript_6-13_hsap;0.794;0.794;0.79;0.79;0.79;0.988;0.988;0.75;0.75;0.75;0.75;0.75;0.753;0.753;0.994;0.736;0.994;0.994;0.736;1.0;1.0;1.0;1.0;1.0;0.994;0.994;0.549;0.549;0.543;0.543;0.994;0.994;0.73;0.73;0.724;0.724;0.481;0.481
transcript_5-13_ptro;0.794;0.794;0.79;0.79;0.79;0.988;0.988;0.75;0.75;0.75;0.75;0.75;0.753;0.753;0.994;0.736;0.994;0.994;0.736;1.0;1.0;1.0;1.0;1.0;0.994;0.994;0.549;0.549;0.543;0.543;0.994;0.994;0.73;0.73;0.724;0.724;0.481;0.481
transcript_5-31_ptro;0.794;0.794;0.79;0.79;0.79;0.988;0.988;0.75;0.75;0.75;0.75;0.75;0.753;0.753;0.994;0.736;0.994;0.994;0.736;1.0;1.0;1.0;1.0;1.0;0.994;0.994;0.549;0.549;0.543;0.543;0.994;0.994;0.73;0.73;0.724;0.724;0.481;0.481
transcript_5-36_ptro;0.798;0.798;0.794;0.794;0.794;0.982;0.982;0.745;0.745;0.745;0.745;0.745;0.749;0.749;0.989;0.73;0.989;0.989;0.73;0.994;0.994;0.994;0.994;0.994;1.0;1.0;0.543;0.543;0.546;0.546;0.992;0.992;0.727;0.727;0.721;0.721;0.475;0.475
transcript_4-36_ppan;0.798;0.798;0.794;0.794;0.794;0.982;0.982;0.745;0.745;0.745;0.745;0.745;0.749;0.749;0.989;0.73;0.989;0.989;0.73;0.994;0.994;0.994;0.994;0.994;1.0;1.0;0.543;0.543;0.546;0.546;0.992;0.992;0.727;0.727;0.721;0.721;0.475;0.475
transcript_4-18_ppan;0.426;0.426;0.424;0.424;0.424;0.54;0.54;0.412;0.412;0.412;0.412;0.412;0.414;0.414;0.546;0.746;0.546;0.546;0.746;0.549;0.549;0.549;0.549;0.549;0.543;0.543;1.0;1.0;0.99;0.99;0.543;0.543;0.738;0.738;0.743;0.743;0.4;0.4
transcript_5-18_ptro;0.426;0.426;0.424;0.424;0.424;0.54;0.54;0.412;0.412;0.412;0.412;0.412;0.414;0.414;0.546;0.746;0.546;0.546;0.746;0.549;0.549;0.549;0.549;0.549;0.543;0.543;1.0;1.0;0.99;0.99;0.543;0.543;0.738;0.738;0.743;0.743;0.4;0.4
transcript_5-30_ptro;0.428;0.428;0.426;0.426;0.426;0.534;0.534;0.407;0.407;0.407;0.407;0.407;0.409;0.409;0.54;0.738;0.54;0.54;0.738;0.543;0.543;0.543;0.543;0.543;0.546;0.546;0.99;0.99;1.0;1.0;0.54;0.54;0.734;0.734;0.74;0.74;0.392;0.392
transcript_4-30_ppan;0.428;0.428;0.426;0.426;0.426;0.534;0.534;0.407;0.407;0.407;0.407;0.407;0.409;0.409;0.54;0.738;0.54;0.54;0.738;0.543;0.543;0.543;0.543;0.543;0.546;0.546;0.99;0.99;1.0;1.0;0.54;0.54;0.734;0.734;0.74;0.74;0.392;0.392
transcript_5-24_ptro;0.791;0.791;0.788;0.788;0.788;0.982;0.982;0.745;0.745;0.745;0.745;0.745;0.748;0.748;0.988;0.73;0.988;0.988;0.73;0.994;0.994;0.994;0.994;0.994;0.992;0.992;0.543;0.543;0.54;0.54;1.0;1.0;0.734;0.734;0.728;0.728;0.475;0.475
transcript_4-24_ppan;0.791;0.791;0.788;0.788;0.788;0.982;0.982;0.745;0.745;0.745;0.745;0.745;0.748;0.748;0.988;0.73;0.988;0.988;0.73;0.994;0.994;0.994;0.994;0.994;0.992;0.992;0.543;0.543;0.54;0.54;1.0;1.0;0.734;0.734;0.728;0.728;0.475;0.475
transcript_4-26_ppan;0.576;0.576;0.573;0.573;0.573;0.719;0.719;0.547;0.547;0.547;0.547;0.547;0.55;0.55;0.725;0.991;0.725;0.725;0.991;0.73;0.73;0.73;0.73;0.73;0.727;0.727;0.738;0.738;0.734;0.734;0.734;0.734;1.0;1.0;0.992;0.992;0.645;0.645
transcript_5-26_ptro;0.576;0.576;0.573;0.573;0.573;0.719;0.719;0.547;0.547;0.547;0.547;0.547;0.55;0.55;0.725;0.991;0.725;0.725;0.991;0.73;0.73;0.73;0.73;0.73;0.727;0.727;0.738;0.738;0.734;0.734;0.734;0.734;1.0;1.0;0.992;0.992;0.645;0.645
transcript_4-33_ppan;0.571;0.571;0.569;0.569;0.569;0.714;0.714;0.543;0.543;0.543;0.543;0.543;0.545;0.545;0.72;0.984;0.72;0.72;0.984;0.724;0.724;0.724;0.724;0.724;0.721;0.721;0.743;0.743;0.74;0.74;0.728;0.728;0.992;0.992;1.0;1.0;0.638;0.638
transcript_5-33_ptro;0.571;0.571;0.569;0.569;0.569;0.714;0.714;0.543;0.543;0.543;0.543;0.543;0.545;0.545;0.72;0.984;0.72;0.72;0.984;0.724;0.724;0.724;0.724;0.724;0.721;0.721;0.743;0.743;0.74;0.74;0.728;0.728;0.992;0.992;1.0;1.0;0.638;0.638
transcript_4-19_ppan;0.371;0.371;0.369;0.369;0.369;0.472;0.472;0.361;0.361;0.361;0.361;0.361;0.362;0.362;0.478;0.654;0.478;0.478;0.654;0.481;0.481;0.481;0.481;0.481;0.475;0.475;0.4;0.4;0.392;0.392;0.475;0.475;0.645;0.645;0.638;0.638;1.0;1.0
transcript_5-19_ptro;0.371;0.371;0.369;0.369;0.369;0.472;0.472;0.361;0.361;0.361;0.361;0.361;0.362;0.362;0.478;0.654;0.478;0.478;0.654;0.481;0.481;0.481;0.481;0.481;0.475;0.475;0.4;0.4;0.392;0.392;0.475;0.475;0.645;0.645;0.638;0.638;1.0;1.0
