transcripts;transcript_4-7_ppan;transcript_5-7_ptro;transcript_6-7_hsap;transcript_4-9_ppan;transcript_5-9_ptro;transcript_6-9_hsap;transcript_4-17_ppan;transcript_5-17_ptro;transcript_4-10_ppan;transcript_4-16_ppan;transcript_6-10_hsap;transcript_5-10_ptro;transcript_5-16_ptro;transcript_4-27_ppan;transcript_5-27_ptro;transcript_4-18_ppan;transcript_5-18_ptro;transcript_4-13_ppan;transcript_6-13_hsap;transcript_5-13_ptro;transcript_5-30_ptro;transcript_4-30_ppan;transcript_4-24_ppan;transcript_5-24_ptro;transcript_5-28_ptro;transcript_4-28_ppan
transcript_6-10_hsap;0.943;0.943;0.943;0.933;0.933;0.933;0.989;0.989;1.0;1.0;1.0;1.0;1.0;0.938;0.938;0.712;0.712;0.938;0.938;0.938;0.933;0.933;0.706;0.706;0.7;0.7
transcript_5-10_ptro;0.943;0.943;0.943;0.933;0.933;0.933;0.989;0.989;1.0;1.0;1.0;1.0;1.0;0.938;0.938;0.712;0.712;0.938;0.938;0.938;0.933;0.933;0.706;0.706;0.7;0.7
transcript_5-16_ptro;0.943;0.943;0.943;0.933;0.933;0.933;0.989;0.989;1.0;1.0;1.0;1.0;1.0;0.938;0.938;0.712;0.712;0.938;0.938;0.938;0.933;0.933;0.706;0.706;0.7;0.7
transcript_4-27_ppan;0.995;0.995;0.995;0.985;0.985;0.985;0.928;0.928;0.938;0.938;0.938;0.938;0.938;1.0;1.0;0.666;0.666;0.99;0.99;0.99;0.985;0.985;0.661;0.661;0.664;0.664
transcript_5-27_ptro;0.995;0.995;0.995;0.985;0.985;0.985;0.928;0.928;0.938;0.938;0.938;0.938;0.938;1.0;1.0;0.666;0.666;0.99;0.99;0.99;0.985;0.985;0.661;0.661;0.664;0.664
transcript_4-18_ppan;0.671;0.671;0.671;0.661;0.661;0.661;0.701;0.701;0.712;0.712;0.712;0.712;0.712;0.666;0.666;1.0;1.0;0.666;0.666;0.666;0.661;0.661;0.992;0.992;0.984;0.984
transcript_5-18_ptro;0.671;0.671;0.671;0.661;0.661;0.661;0.701;0.701;0.712;0.712;0.712;0.712;0.712;0.666;0.666;1.0;1.0;0.666;0.666;0.666;0.661;0.661;0.992;0.992;0.984;0.984
transcript_4-13_ppan;0.995;0.995;0.995;0.985;0.985;0.985;0.928;0.928;0.938;0.938;0.938;0.938;0.938;0.99;0.99;0.666;0.666;1.0;1.0;1.0;0.995;0.995;0.661;0.661;0.655;0.655
transcript_6-13_hsap;0.995;0.995;0.995;0.985;0.985;0.985;0.928;0.928;0.938;0.938;0.938;0.938;0.938;0.99;0.99;0.666;0.666;1.0;1.0;1.0;0.995;0.995;0.661;0.661;0.655;0.655
transcript_5-13_ptro;0.995;0.995;0.995;0.985;0.985;0.985;0.928;0.928;0.938;0.938;0.938;0.938;0.938;0.99;0.99;0.666;0.666;1.0;1.0;1.0;0.995;0.995;0.661;0.661;0.655;0.655
transcript_5-30_ptro;0.99;0.99;0.99;0.98;0.98;0.98;0.923;0.923;0.933;0.933;0.933;0.933;0.933;0.985;0.985;0.661;0.661;0.995;0.995;0.995;1.0;1.0;0.655;0.655;0.65;0.65
transcript_4-30_ppan;0.99;0.99;0.99;0.98;0.98;0.98;0.923;0.923;0.933;0.933;0.933;0.933;0.933;0.985;0.985;0.661;0.661;0.995;0.995;0.995;1.0;1.0;0.655;0.655;0.65;0.65
transcript_4-24_ppan;0.666;0.666;0.666;0.655;0.655;0.655;0.695;0.695;0.706;0.706;0.706;0.706;0.706;0.661;0.661;0.992;0.992;0.661;0.661;0.661;0.655;0.655;1.0;1.0;0.992;0.992
transcript_5-24_ptro;0.666;0.666;0.666;0.655;0.655;0.655;0.695;0.695;0.706;0.706;0.706;0.706;0.706;0.661;0.661;0.992;0.992;0.661;0.661;0.661;0.655;0.655;1.0;1.0;0.992;0.992
transcript_5-28_ptro;0.661;0.661;0.661;0.65;0.65;0.65;0.69;0.69;0.7;0.7;0.7;0.7;0.7;0.664;0.664;0.984;0.984;0.655;0.655;0.655;0.65;0.65;0.992;0.992;1.0;1.0
transcript_4-28_ppan;0.661;0.661;0.661;0.65;0.65;0.65;0.69;0.69;0.7;0.7;0.7;0.7;0.7;0.664;0.664;0.984;0.984;0.655;0.655;0.655;0.65;0.65;0.992;0.992;1.0;1.0
