transcripts;transcript_7-36_ENSMUSG00000036980;transcript_7-40_ENSMUSG00000036980;transcript_10-40_ENSG00000106290;transcript_11-40_ENSPTRG00000019474;transcript_12-40_ENSDARG00000102998;transcript_10-36_ENSG00000106290;transcript_11-36_ENSPTRG00000019474;transcript_12-36_ENSDARG00000102998;transcript_7-41_ENSMUSG00000036980;transcript_10-41_ENSG00000106290;transcript_11-41_ENSPTRG00000019474;transcript_12-41_ENSDARG00000102998;transcript_7-39_ENSMUSG00000036980;transcript_12-39_ENSDARG00000102998;transcript_10-39_ENSG00000106290;transcript_11-39_ENSPTRG00000019474;transcript_12-45_ENSDARG00000102998;transcript_7-45_ENSMUSG00000036980;transcript_10-45_ENSG00000106290;transcript_11-45_ENSPTRG00000019474;transcript_12-79_ENSDARG00000102998;transcript_12-80_ENSDARG00000102998;transcript_10-44_ENSG00000106290;transcript_7-44_ENSMUSG00000036980;transcript_12-44_ENSDARG00000102998;transcript_11-44_ENSPTRG00000019474;transcript_12-42_ENSDARG00000102998;transcript_7-42_ENSMUSG00000036980;transcript_10-42_ENSG00000106290;transcript_11-42_ENSPTRG00000019474
transcript_11-41_ENSPTRG00000019474;0.98;0.999;0.999;0.999;0.999;0.98;0.98;0.98;1.0;1.0;1.0;1.0;0.954;0.954;0.954;0.954;0.953;0.953;0.953;0.953;0.937;0.942;0.952;0.952;0.952;0.952;0.953;0.953;0.953;0.953
transcript_12-41_ENSDARG00000102998;0.98;0.999;0.999;0.999;0.999;0.98;0.98;0.98;1.0;1.0;1.0;1.0;0.954;0.954;0.954;0.954;0.953;0.953;0.953;0.953;0.937;0.942;0.952;0.952;0.952;0.952;0.953;0.953;0.953;0.953
transcript_7-39_ENSMUSG00000036980;0.969;0.955;0.955;0.955;0.955;0.969;0.969;0.969;0.954;0.954;0.954;0.954;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999;0.983;0.988;0.998;0.998;0.998;0.998;0.999;0.999;0.999;0.999
transcript_12-39_ENSDARG00000102998;0.969;0.955;0.955;0.955;0.955;0.969;0.969;0.969;0.954;0.954;0.954;0.954;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999;0.983;0.988;0.998;0.998;0.998;0.998;0.999;0.999;0.999;0.999
transcript_10-39_ENSG00000106290;0.969;0.955;0.955;0.955;0.955;0.969;0.969;0.969;0.954;0.954;0.954;0.954;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999;0.983;0.988;0.998;0.998;0.998;0.998;0.999;0.999;0.999;0.999
transcript_11-39_ENSPTRG00000019474;0.969;0.955;0.955;0.955;0.955;0.969;0.969;0.969;0.954;0.954;0.954;0.954;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999;0.983;0.988;0.998;0.998;0.998;0.998;0.999;0.999;0.999;0.999
transcript_12-45_ENSDARG00000102998;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0;0.984;0.989;0.997;0.997;0.997;0.997;0.998;0.998;0.998;0.998
transcript_7-45_ENSMUSG00000036980;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0;0.984;0.989;0.997;0.997;0.997;0.997;0.998;0.998;0.998;0.998
transcript_10-45_ENSG00000106290;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0;0.984;0.989;0.997;0.997;0.997;0.997;0.998;0.998;0.998;0.998
transcript_11-45_ENSPTRG00000019474;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0;0.984;0.989;0.997;0.997;0.997;0.997;0.998;0.998;0.998;0.998
transcript_12-79_ENSDARG00000102998;0.953;0.938;0.938;0.938;0.938;0.953;0.953;0.953;0.937;0.937;0.937;0.937;0.983;0.983;0.983;0.983;0.984;0.984;0.984;0.984;1.0;0.974;0.981;0.981;0.981;0.981;0.982;0.982;0.982;0.982
transcript_12-80_ENSDARG00000102998;0.957;0.943;0.943;0.943;0.943;0.957;0.957;0.957;0.942;0.942;0.942;0.942;0.988;0.988;0.988;0.988;0.989;0.989;0.989;0.989;0.974;1.0;0.986;0.986;0.986;0.986;0.987;0.987;0.987;0.987
transcript_10-44_ENSG00000106290;0.967;0.953;0.953;0.953;0.953;0.967;0.967;0.967;0.952;0.952;0.952;0.952;0.998;0.998;0.998;0.998;0.997;0.997;0.997;0.997;0.981;0.986;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999
transcript_7-44_ENSMUSG00000036980;0.967;0.953;0.953;0.953;0.953;0.967;0.967;0.967;0.952;0.952;0.952;0.952;0.998;0.998;0.998;0.998;0.997;0.997;0.997;0.997;0.981;0.986;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999
transcript_12-44_ENSDARG00000102998;0.967;0.953;0.953;0.953;0.953;0.967;0.967;0.967;0.952;0.952;0.952;0.952;0.998;0.998;0.998;0.998;0.997;0.997;0.997;0.997;0.981;0.986;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999
transcript_11-44_ENSPTRG00000019474;0.967;0.953;0.953;0.953;0.953;0.967;0.967;0.967;0.952;0.952;0.952;0.952;0.998;0.998;0.998;0.998;0.997;0.997;0.997;0.997;0.981;0.986;1.0;1.0;1.0;1.0;0.999;0.999;0.999;0.999
transcript_12-42_ENSDARG00000102998;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;0.998;0.998;0.998;0.998;0.982;0.987;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0
transcript_7-42_ENSMUSG00000036980;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;0.998;0.998;0.998;0.998;0.982;0.987;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0
transcript_10-42_ENSG00000106290;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;0.998;0.998;0.998;0.998;0.982;0.987;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0
transcript_11-42_ENSPTRG00000019474;0.968;0.954;0.954;0.954;0.954;0.968;0.968;0.968;0.953;0.953;0.953;0.953;0.999;0.999;0.999;0.999;0.998;0.998;0.998;0.998;0.982;0.987;0.999;0.999;0.999;0.999;1.0;1.0;1.0;1.0
